frame_idx,x1,y1,x2,y2,confidence,class_id
0,132.85,116.04,371.68,321.9,0.8725,0
1,138.42,115.95,371.65,323.44,0.879,0
2,139.75,116.25,371.3,322.5,0.8886,0
3,142.14,117.08,371.39,324.93,0.8895,0
4,140.99,117.19,370.08,325.71,0.8868,0
5,140.27,117.4,370.26,325.35,0.8869,0
6,122.38,118.33,369.19,327.22,0.8887,0
7,115.04,118.95,365.63,327.24,0.912,0
8,115.4,119.07,365.47,328.85,0.9102,0
9,120.2,119.29,365.0,326.18,0.9019,0
10,120.14,119.65,364.53,324.56,0.9083,0
11,117.54,120.47,364.59,323.62,0.9121,0
12,115.95,120.39,364.07,327.71,0.9191,0
13,116.97,120.04,363.76,329.82,0.9175,0
14,121.05,119.71,363.49,329.11,0.9112,0
15,119.2,120.44,363.27,328.82,0.909,0
16,119.24,120.48,362.47,327.86,0.9,0
17,118.79,120.65,362.36,329.18,0.9095,0
18,120.84,120.97,361.7,329.97,0.9095,0
19,121.74,121.58,362.23,329.14,0.9129,0
20,118.64,121.69,359.96,329.37,0.9086,0
21,118.88,121.42,357.73,329.1,0.9078,0
22,119.09,120.86,356.72,329.52,0.9092,0
23,118.53,121.56,359.31,331.0,0.9134,0
24,119.48,121.66,355.89,331.68,0.9094,0
25,122.23,121.39,353.09,332.2,0.908,0
26,121.23,121.25,354.22,332.51,0.9035,0
27,121.65,121.61,355.74,330.87,0.8998,0
28,125.64,121.38,353.23,329.86,0.9044,0
29,125.98,121.75,349.73,329.52,0.8949,0
30,113.88,122.09,347.95,331.63,0.8896,0
31,111.84,122.8,346.45,330.09,0.884,0
32,113.14,123.79,344.69,330.4,0.8944,0
33,112.52,122.52,344.83,332.54,0.8904,0
34,117.89,124.26,343.82,329.01,0.8896,0
35,114.06,123.67,343.37,331.07,0.8906,0
36,109.62,123.89,342.8,333.16,0.8887,0
37,105.19,123.99,342.99,333.12,0.8921,0
38,108.13,124.17,343.19,332.17,0.8955,0
39,107.96,124.26,342.18,337.4,0.8939,0
40,104.3,124.41,341.59,337.87,0.8895,0
41,103.77,124.08,340.47,339.4,0.8909,0
42,102.89,124.19,340.21,340.47,0.8934,0
43,106.13,124.69,338.82,339.42,0.8956,0
44,107.78,124.88,337.92,338.01,0.8985,0
45,108.45,124.87,336.76,337.5,0.8956,0
46,109.34,125.24,335.65,338.1,0.9026,0
47,108.89,125.51,335.25,337.46,0.9074,0
